bioscreen_plate	bioscreen_well	plate	well	strainID	evolution	filtrate_source	KB_spike_conc_perc	replicate
1	83	1	G11	HAMBI_1287	anc	HAMBI_1977_anc	10	C
1	84	1	G12	HAMBI_1287	anc	HAMBI_1977_anc	10	D
1	85	1	H01	HAMBI_1287	anc	HAMBI_1977_anc	10	E
1	86	1	H02	HAMBI_1287	evo	HAMBI_1977_anc	10	A
1	87	1	H03	HAMBI_1287	evo	HAMBI_1977_anc	10	B
1	88	1	H04	HAMBI_1287	evo	HAMBI_1977_anc	10	C
1	89	1	H05	HAMBI_1287	evo	HAMBI_1977_anc	10	D
1	90	1	H06	HAMBI_1287	evo	HAMBI_1977_anc	10	E
1	91	1	H07	HAMBI_1977	anc	HAMBI_1287_anc	10	A
1	92	1	H08	HAMBI_1977	anc	HAMBI_1287_anc	10	B
1	93	1	H09	HAMBI_1977	anc	HAMBI_1287_anc	10	C
1	94	1	H10	HAMBI_1977	anc	HAMBI_1287_anc	10	D
1	95	1	H11	HAMBI_1977	anc	HAMBI_1287_anc	10	E
1	96	1	H12	HAMBI_1977	evo	HAMBI_1287_anc	10	A
1	97	2	A01	HAMBI_1977	evo	HAMBI_1287_anc	10	B
1	98	2	A02	HAMBI_1977	evo	HAMBI_1287_anc	10	C
1	99	2	A03	HAMBI_1977	evo	HAMBI_1287_anc	10	D
1	100	2	A04	HAMBI_1977	evo	HAMBI_1287_anc	10	E
