sample	strainID	genus	species	count	count_correct	f_correct
15_B4	HAMBI-0105	Agrobacterium	tumefaciens	436	1633	0.10341782797556617
15_B4	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_B4	HAMBI-0403	Comamonas	testosteroni	550	626	0.03962951863025326
15_B4	HAMBI-1279	Hafnia	alvei	78	244	0.015456252069221209
15_B4	HAMBI-1287	Citrobacter	koseri	2469	3962	0.25085360333490553
15_B4	HAMBI-1292	Morganella	morganii	99	570	0.03610039615039097
15_B4	HAMBI-1299	Kluyvera	intermedia	39	143	0.009061144888728686
15_B4	HAMBI-1842	Sphingobium	yanoikuyae	162	329	0.02082421274001381
15_B4	HAMBI-1896	Sphingobacterium	spiritivorum	1315	2839	0.1797554555675286
15_B4	HAMBI-1972	Aeromonas	caviae	7325	1795	0.1136538649575161
15_B4	HAMBI-1977	Pseudomonas	chlororaphis	571	1491	0.0944115717967003
15_B4	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_B4	HAMBI-2159	Paraburkholderia	caryophylli	0	0	0
15_B4	HAMBI-2160	Bordetella	avium	46	534	0.03381838420807723
15_B4	HAMBI-2164	Cupriavidus	necator	5	77	0.004896666921652953
15_B4	HAMBI-2443	Paracoccus	denitrificans	41	817	0.051741103219815045
15_B4	HAMBI-2494	Paraburkholderia	kururiensis	2	29	0.0018598809248532337
15_B4	HAMBI-2659	Stenotrophomonas	maltophilia	207	279	0.01763419151779719
15_B4	HAMBI-2792	Moraxella	canis	0	0	0
15_B4	HAMBI-3031	Niabella	yanshanensis	41	153	0.009690081829902435
15_B4	HAMBI-3237	Microvirga	lotononidis	7	18	0.0011431064407530524
15_B5	HAMBI-0006	Pseudomonas	putida	2034	190	0.013628538917760825
15_B5	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
15_B5	HAMBI-0105	Agrobacterium	tumefaciens	383	1267	0.09104353696637978
15_B5	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_B5	HAMBI-0403	Comamonas	testosteroni	262	263	0.01891902814516056
15_B5	HAMBI-1279	Hafnia	alvei	85	235	0.016879902712445046
15_B5	HAMBI-1287	Citrobacter	koseri	2150	3046	0.21891682361082623
15_B5	HAMBI-1292	Morganella	morganii	82	417	0.02996622595014077
15_B5	HAMBI-1299	Kluyvera	intermedia	32	104	0.007450919487053812
15_B5	HAMBI-1842	Sphingobium	yanoikuyae	244	437	0.03143292729691624
15_B5	HAMBI-1896	Sphingobacterium	spiritivorum	1320	2516	0.1808304998655959
15_B5	HAMBI-1972	Aeromonas	caviae	5777	1250	0.08982978742892558
15_B5	HAMBI-1977	Pseudomonas	chlororaphis	1210	2789	0.200500709796374
15_B5	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_B5	HAMBI-2159	Paraburkholderia	caryophylli	1	21	0.00148379978574899
15_B5	HAMBI-2160	Bordetella	avium	37	379	0.027260773259872396
15_B5	HAMBI-2164	Cupriavidus	necator	9	123	0.008833127376632914
15_B5	HAMBI-2443	Paracoccus	denitrificans	21	369	0.0265590506304355
15_B5	HAMBI-2494	Paraburkholderia	kururiensis	9	117	0.008387626408665704
15_B5	HAMBI-2659	Stenotrophomonas	maltophilia	213	253	0.01818470396932551
15_B5	HAMBI-2792	Moraxella	canis	0	0	0
15_B5	HAMBI-3031	Niabella	yanshanensis	39	129	0.009237397219551547
15_B5	HAMBI-3237	Microvirga	lotononidis	4	9	6.54621172188727e-4
15_B6	HAMBI-0006	Pseudomonas	putida	1767	175	0.014055380969897396
15_B6	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
15_B6	HAMBI-0105	Agrobacterium	tumefaciens	382	1342	0.10780066311021146
15_B6	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_B6	HAMBI-0403	Comamonas	testosteroni	308	329	0.026403163829656157
15_B6	HAMBI-1279	Hafnia	alvei	68	200	0.01603125965093361
15_B6	HAMBI-1287	Citrobacter	koseri	2004	3017	0.24224014477870578
15_B6	HAMBI-1292	Morganella	morganii	64	346	0.027765525241955604
15_B6	HAMBI-1299	Kluyvera	intermedia	34	117	0.009398239999928958
