Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
192	A1	plate_3	1	0	0	0.07400000000000001	0.07400000000000001	0.076	3.511416666666669		0.07400000000000001	0.00947528466069994	0.614042959896044	0.0002331614875116239	0.013522772430893393	1.4511495304528332e-05	0.0001934860215411626	0.0003901021981989923	-5.282852208664507e-05	1776.8348493293258	-26.267164619512474	0.4166666666666667	20.333333333333332	0.4166666666666667	47.166666666666664	0.0	2.3031279058798055e-08	TRUE
193	A2	plate_3	1	0	0	0.075	0.075	0.076	3.516750000000002		0.075	0.001192216754730014	0.054930327098636295	0.00011392029452680918	0.0023506623671603246	7.34681708578766e-05	0.0009777535093830158	0.00015026711765101064	-0.00014655659021472903	4612.76686074296	16.77880174979987	0.4166666666666667	36.5	25.25	47.166666666666664	0.0	7.802662040232981e-08	TRUE
194	A3	plate_3	1	0	0	0.075	0.07400000000000001	0.075	3.500416666666668		0.075	0.011692706226238667	-0.1612160847981327	0.00043952851366078904	-0.0009029005908230687	1.4431680071841368e-05	0.00019261476674853947	0.00024284729541411453	-5.619033015375624e-05	2854.2511843830025	36.20589040026039	0.4166666666666667	41.083333333333336	19.916666666666668	47.166666666666664	0.0	1.63175580784183e-07	TRUE
195	A4	plate_3	1	0	0	0.075	0.07400000000000001	0.504	12.260916666666665		0.075	8.748132450172973	44.020056475862916	0.42775449524833187	1.90261560135923	0.0004155153883845797	0.0008268179965114086	0.4024632327474248	-0.013038950764103552	1.7222621202641535	19.94702933406584	0.4166666666666667	47.0	21.833333333333332	47.166666666666664	1.0	2.243599111984884e-06	FALSE
196	A5	plate_3	1	0	0	0.075	0.07400000000000001	0.488	12.25025		0.075	8.735332175353374	44.19519334113896	0.4123056114426976	1.871496322016041	0.0013422068152885158	0.0027578864466430986	0.3908700307212581	-0.021314912563781416	1.7733444011578638	19.683196633524293	0.4166666666666667	46.833333333333336	21.583333333333332	47.166666666666664	1.0	2.833521358496663e-06	FALSE
197	A6	plate_3	1	0	0	0.076	0.075	0.502	12.367999999999999		0.076	8.807121584248108	43.90952960807684	0.4250921280744234	1.8861127494201604	0.0005083397805580869	0.0010149216440709097	0.38427008607080654	-0.012024998401083543	1.8038020800615333	19.78096544733934	0.4166666666666667	47.0	21.666666666666668	47.166666666666664	1.0	2.158627154177816e-06	FALSE
198	A7	plate_3	1	0	0	0.07400000000000001	0.073	0.514	12.348		0.07400000000000001	8.885437773992741	44.68628166999116	0.4393058834618487	1.9366683100354436	0.0005292891137966826	0.001031812815512012	0.3873934320963064	-0.012518731943546383	1.7892589887472026	19.740858229393083	0.4166666666666667	47.0	21.666666666666668	47.166666666666664	1.0	2.203499868221063e-06	FALSE
199	A8	plate_3	1	0	0	0.07400000000000001	0.07400000000000001	0.514	12.343166666666665		0.07400000000000001	8.88018615059761	44.74135194806057	0.43958871684741374	1.9372430010934636	0.0015218291821049723	0.0029678677692714928	0.4694110766676775	-0.04391487734693928	1.4766314963859772	20.18637759329325	0.4166666666666667	47.0	21.833333333333332	47.166666666666664	1.0	6.389740660230433e-07	FALSE
