Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
0	A1	plate_1	1	0	0	0.07200000000000001	0.07200000000000001	0.51	17.198999999999998		0.07200000000000001	13.836203193465895	66.86130179599593	0.4368526477618754	1.9551039088609912	0.0016023552578239286	0.003155153020685475	0.2522965575487107	-0.014152813706851468	2.7473509242238467	8.115570462836414	0.4166666666666667	44.833333333333336	10.25	47.166666666666664	1.0	8.024842701277477e-07	FALSE
1	A2	plate_1	1	0	0	0.071	0.071	0.493	17.041083333333333		0.071	13.721938490303456	67.08878492735694	0.4206275129606379	1.9347779655277642	0.004571655328204749	0.009345001993785518	0.2602970994379561	-0.011549878872820477	2.6629078159403865	8.139579372864153	0.4166666666666667	38.583333333333336	10.25	47.166666666666664	1.0	7.16661465998281e-07	FALSE
2	A3	plate_1	1	0	0	0.071	0.071	0.48700000000000004	16.736833333333333		0.071	13.413333143975349	66.3605145177129	0.4144469644940391	1.9223146617883113	0.0039108812318386366	0.008089488357603258	0.26452262439946606	-0.00947405793166632	2.620370118183904	8.155289083472752	0.4166666666666667	40.083333333333336	10.166666666666666	47.166666666666664	1.0	7.977148059313642e-07	FALSE
3	A4	plate_1	1	0	0	0.07200000000000001	0.07200000000000001	0.483	16.765083333333337		0.07200000000000001	13.395423073782737	65.89096347402455	0.4093639016566699	1.8998514743790802	0.003642266659682536	0.007596134848373959	0.25542876050777136	-0.00751489012806465	2.713661449799254	8.150999983649927	0.4166666666666667	39.25	10.25	47.166666666666664	1.0	7.23260413811971e-07	FALSE
4	A5	plate_1	1	0	0	0.071	0.071	0.489	16.817333333333327		0.071	13.470569598330744	66.62549794481764	0.41604726024446403	1.9266252953095593	0.0062122431062276995	0.01282475994274157	0.25838689483667987	-0.004651784395343137	2.6825941810944665	8.067601146034747	0.4166666666666667	38.833333333333336	10.166666666666666	47.166666666666664	1.0	8.258197979873263e-07	FALSE
5	A6	plate_1	1	0	0	0.07	0.069	0.47	12.93375		0.07	9.656482751007607	53.44202030461739	0.3967963964383749	1.8973455954957785	0.0012654992228643414	0.0027148541947212834	0.13098251539725267	-0.017895450706735847	5.2919061636411655	9.937978509657519	0.4166666666666667	45.583333333333336	13.916666666666666	47.166666666666664	1.0	8.918943929419262e-07	FALSE
6	A7	plate_1	1	0	0	0.068	0.068	0.45899999999999996	13.211166666666667		0.068	10.025946522153308	55.299562553604076	0.38885012086866044	1.9048700667274119	0.0180208769335351	0.04024408280854175	0.16816599554888437	-0.04903632796819444	4.121803449606752	10.934975875124557	0.4166666666666667	44.0	14.333333333333334	47.166666666666664	1.0	9.942220148002369e-07	FALSE
7	A8	plate_1	1	0	0	0.071	0.07	0.48700000000000004	13.21975		0.071	9.925310085600493	53.50353826889349	0.41518604004948484	1.9225584227620232	0.0003458138583290471	0.0007124956839099639	0.13213578817586036	-0.010805807272470378	5.245718742279203	10.677939989229293	0.4166666666666667	47.0	17.25	47.166666666666664	1.0	7.035007682133867e-07	FALSE
8	A9	plate_1	1	0	0	0.071	0.071	0.47100000000000003	12.711083333333333		0.071	9.399015166669576	51.78036114203919	0.39923235310777805	1.8899486322406522	0.0	0.0	0.12449087850110635	0.0012152097590628725	5.567855162607638	11.134328868068739	0.4166666666666667	47.166666666666664	18.083333333333332	47.166666666666664	1.0	9.556207608443438e-07	FALSE
9	A10	plate_1	1	0	0	0.071	0.071	0.49700000000000005	13.443333333333333		0.071	10.11623450671114	53.73316609940314	0.4227636333923482	1.939457269684695	0.001354157768284514	0.0027460692912555373	0.13241820958448114	-0.012856967366553866	5.2345306792395965	11.303723991728765	0.4166666666666667	46.666666666666664	17.833333333333332	47.166666666666664	1.0	1.0023166118734683e-06	FALSE
10	A11	plate_1	1	0	0	0.071	0.071	0.483	13.853916666666665		0.071	10.528808152880345	53.39377069853488	0.4114519098128784	1.9161918141744536	0.0005336803201793083	0.0011068063091244085	0.36348246992070987	-0.012921923542052237	1.906961787486336	15.91083202758645	0.4166666666666667	47.0	18.083333333333332	47.166666666666664	1.0	1.6354620583388192e-06	FALSE
