Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
96	A1	plate_2	1	0	0	0.073	0.073	0.505	13.278333333333334		0.073	9.861091947779407	49.1244267277848	0.43179860388987207	1.9336240001688836	0.0005146828772709666	0.001020178429868679	0.2982496111540263	-0.008219923619333188	2.3240505758848427	18.729245325835773	0.4166666666666667	46.916666666666664	23.666666666666668	47.166666666666664	1.0	2.5966698191134393e-06	FALSE
97	A2	plate_2	1	0	0	0.073	0.073	0.508	13.265166666666666		0.073	9.84628255629058	48.90920343138226	0.43415279192739686	1.9383435243264913	0.00035446856120935344	0.0006991893167338503	0.2810683170130514	-0.00612532890751742	2.4661163802669335	18.54355788518332	0.4166666666666667	46.916666666666664	23.833333333333332	47.166666666666664	1.0	3.4014139780411512e-06	FALSE
98	A3	plate_2	1	0	0	0.07400000000000001	0.07400000000000001	0.519	13.5805		0.07400000000000001	10.114923844440364	49.64145559382763	0.44491093369801366	1.9476547994687827	0.00028973205413918013	0.0005585092455167029	0.28417755331570577	-0.005303637929689462	2.4391341697206346	18.218597052226876	0.4166666666666667	46.916666666666664	23.5	47.166666666666664	1.0	2.7101537646811004e-06	FALSE
99	A4	plate_2	1	0	0	0.07200000000000001	0.07200000000000001	0.535	13.185666666666666		0.07200000000000001	9.81814014324482	48.88328184253913	0.4628678826082053	2.005157817459043	0.00013050557687710462	0.0002440734823938584	0.26513573049160527	-0.003893067998677627	2.6143107127611067	18.57326712752962	0.4166666666666667	47.0	24.333333333333332	47.166666666666664	1.0	5.1480925253086814e-06	FALSE
100	A5	plate_2	1	0	0	0.071	0.071	0.496	16.651666666666667		0.071	13.331500469573138	65.80110750599147	0.4230922022359188	1.939823297554483	0.00024038957681943307	0.00048675276022436265	0.23142878525356128	-0.003216385193397186	2.995077642569439	8.265897587045231	0.4166666666666667	46.75	10.583333333333334	47.166666666666664	1.0	9.96839315972802e-07	FALSE
101	A6	plate_2	1	0	0	0.071	0.071	0.484	16.699083333333334		0.071	13.37121831322072	66.02080713989903	0.41017841806494115	1.9136756801821209	0.0035735485876580153	0.007453496562303208	0.24523317916982035	-0.007973986883939905	2.8264820564102835	8.22625200202886	0.4166666666666667	29.916666666666668	10.416666666666666	31.0	1.0	8.007993695499934e-07	FALSE
102	A7	plate_2	1	0	0	0.071	0.071	0.489	16.778333333333332		0.071	13.452518179429969	66.10545034488182	0.41629255630352635	1.9262106053485215	0.003403033721857074	0.007007871315205305	0.25110928629741647	-0.015894204753164384	2.7603406898260805	8.332093309662666	0.4166666666666667	26.916666666666668	10.416666666666666	28.666666666666668	1.0	9.954964958055823e-07	FALSE
103	A8	plate_2	1	0	0	0.07200000000000001	0.07200000000000001	0.49	16.871166666666664		0.07200000000000001	13.501647836835682	65.95326295841986	0.4159682642260335	1.9134731744686357	0.008102895467247073	0.016746664349839513	0.24523669854485639	-0.005063012458764091	2.8264414937602065	8.223488619903357	0.4166666666666667	32.833333333333336	10.416666666666666	34.0	1.0	8.481539194318345e-07	FALSE
104	A9	plate_2	1	0	0	0.071	0.071	0.496	16.82991666666667		0.071	13.4961997550961	65.87427592483401	0.422297170741019	1.9387989807618418	0.0017228847756925458	0.0034974170176944597	0.2441032528721591	-0.005089070027902244	2.8395655215744213	8.63923266315102	0.4166666666666667	42.25	10.833333333333334	47.166666666666664	1.0	9.813344353508865e-07	FALSE
105	A10	plate_2	1	0	0	0.071	0.071	0.49	13.636083333333332		0.071	10.311791012266532	54.03710788808951	0.4169506175502207	1.9274941199473687	0.0010468861636124815	0.0021478669276007167	0.14039224210685858	-0.011975944165848658	4.937218539699374	11.830888384923448	0.4166666666666667	46.666666666666664	18.916666666666668	47.166666666666664	1.0	5.6784472790382e-07	FALSE
106	A11	plate_2	1	0	0	0.071	0.071	0.493	13.56925		0.071	10.244043538660389	53.94798503679334	0.4202462647929849	1.9342650958798515	0.001052495379954832	0.00214480022205521	0.14273072327336012	-0.009848979725865122	4.85632780850146	12.911725185061721	0.4166666666666667	46.583333333333336	23.75	47.166666666666664	1.0	6.998549870093428e-07	FALSE
107	A12	plate_2	1	0	0	0.07	0.07	0.48100000000000004	13.21733333333333		0.07	9.94016840589862	53.47222963948253	0.40992866294990876	1.925086151083832	0.00023706365023928866	0.0004941057682543715	0.13539215687105183	-0.0033628641600080235	5.119551948789043	12.280433661984254	0.4166666666666667	46.833333333333336	22.916666666666668	47.166666666666664	1.0	1.1516757352046873e-06	FALSE
108	B1	plate_2	1	0	0	0.07	0.07	0.491	13.439583333333333		0.07	10.162235091400026	53.7518930658003	0.41904772255339773	1.9439192597236001	0.0	0.0	0.14220106461547832	0.0014568866187922235	4.874416253030622	12.23548300599742	0.4166666666666667	47.166666666666664	18.583333333333332	47.166666666666664	1.0	7.499880925816856e-07	FALSE
109	B2	plate_2	1	0	0	0.07200000000000001	0.07200000000000001	0.49200000000000005	13.572166666666666		0.07200000000000001	10.200296610666097	53.09542404512114	0.4181438444216359	1.9180247484107156	7.522717678742907e-05	0.00015349280855048164	0.1400913116150262	-0.0011855032948881465	4.9478241910157	12.535646203196876	0.4166666666666667	46.583333333333336	21.5	47.166666666666664	1.0	7.480959115242867e-07	FALSE
