bioscreen_plate	bioscreen_well	plate	well	strep_conc	strainID	evolution
2	135	2	D03	50	HAMBI_1977	anc
2	136	2	D04	50	HAMBI_1977	evo
2	137	2	D05	50	HAMBI_1977	evo
2	138	2	D06	50	HAMBI_1977	evo
2	139	2	D07	50	HAMBI_1977	evo
2	140	2	D08	50	HAMBI_1977	evo
2	141	2	D09	100	HAMBI_1287	anc
2	142	2	D10	100	HAMBI_1287	anc
2	143	2	D11	100	HAMBI_1287	anc
2	144	2	D12	100	HAMBI_1287	anc
2	145	2	E01	100	HAMBI_1287	anc
2	146	2	E02	100	HAMBI_1287	evo
2	147	2	E03	100	HAMBI_1287	evo
2	148	2	E04	100	HAMBI_1287	evo
2	149	2	E05	100	HAMBI_1287	evo
2	150	2	E06	100	HAMBI_1287	evo
2	151	2	E07	100	HAMBI_1977	anc
2	152	2	E08	100	HAMBI_1977	anc
2	153	2	E09	100	HAMBI_1977	anc
2	154	2	E10	100	HAMBI_1977	anc
2	155	2	E11	100	HAMBI_1977	anc
2	156	2	E12	100	HAMBI_1977	evo
2	157	2	F01	100	HAMBI_1977	evo
2	158	2	F02	100	HAMBI_1977	evo
2	159	2	F03	100	HAMBI_1977	evo
2	160	2	F04	100	HAMBI_1977	evo
2	161	2	F05	500	HAMBI_1287	anc
2	162	2	F06	500	HAMBI_1287	anc
2	163	2	F07	500	HAMBI_1287	anc
2	164	2	F08	500	HAMBI_1287	anc
2	165	2	F09	500	HAMBI_1287	anc
2	166	2	F10	500	HAMBI_1287	evo
2	167	2	F11	500	HAMBI_1287	evo
2	168	2	F12	500	HAMBI_1287	evo
2	169	2	G01	500	HAMBI_1287	evo
2	170	2	G02	500	HAMBI_1287	evo
2	171	2	G03	500	HAMBI_1977	anc
2	172	2	G04	500	HAMBI_1977	anc
2	173	2	G05	500	HAMBI_1977	anc
2	174	2	G06	500	HAMBI_1977	anc
2	175	2	G07	500	HAMBI_1977	anc
2	176	2	G08	500	HAMBI_1977	evo
2	177	2	G09	500	HAMBI_1977	evo
2	178	2	G10	500	HAMBI_1977	evo
2	179	2	G11	500	HAMBI_1977	evo
2	180	2	G12	500	HAMBI_1977	evo
2	181	2	H01	5000	HAMBI_1287	anc
2	182	2	H02	5000	HAMBI_1287	anc
2	183	2	H03	5000	HAMBI_1287	anc
2	184	2	H04	5000	HAMBI_1287	anc
